name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Stonehead","stonehead","stone circle",57.3471,-2.6646634,"United Kingdom",yes,""
"Kinnell Park,stone circle,Killin","kinnell-park-stone-circle-killin","stone circle",56.465827,-4.3112582,"United Kingdom",yes,""
"Ödestugu 2:2","odestugu-2-2","stone circle",57.634853,14.317735,"Sweden",no,""
"Cairn Ley, cairn, Glaschul Hill","cairn-ley-cairn-glaschul-hill","stone circle",57.219342,-2.8936457,"United Kingdom",no,""
"Netherton,standing stones & stone circle","netherton-standing-stones-stone-circle","stone circle",57.604947,-1.9291532,"United Kingdom",no,""
"Dunbeacon stone circle","dunbeacon-stone-circle","stone circle",51.595722,-9.549079,"Ireland",no,""
"stone circle 150m NE of Corrydown","stone-circle-150m-ne-of-corrydown","stone circle",57.489467,-2.4906975,"United Kingdom",no,""
"Knockawaddra","knockawaddra","stone circle",51.657731,-9.066896,"Ireland",no,""
"Cloghboola Beg","cloghboola-beg","stone circle",52.015556,-9.0125,"Ireland",no,""
"Standing Stones of Glenterrow","standing-stones-of-glenterrow","stone circle",54.922757,-4.8955277,"United Kingdom",no,""
"Newcraig Stone Circle","newcraig-stone-circle","stone circle",57.356763,-2.4244865,"United Kingdom",no,""
"stone circle 120m NNE of Cairnfauld","stone-circle-120m-nne-of-cairnfauld","stone circle",57.037104,-2.4077826,"United Kingdom",no,""
"Druim Dubh,stone circle","druim-dubh-stone-circle","stone circle",58.18572,-6.4548514,"United Kingdom",no,""
"Lamlash Road, stone circle","lamlash-road-stone-circle","stone circle",55.553992,-5.1424878,"United Kingdom",no,""
"Loudon Wood stone circle","loudon-wood-stone-circle","stone circle",57.53776,-2.0667125,"United Kingdom",yes,""
"Dyffryn Syfynwy","dyffryn-syfynwy","stone circle",51.92088,-4.8239,"United Kingdom",no,""
"Inschfield stone circle","inschfield-stone-circle","stone circle",57.35312,-2.6277447,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Inschfield_stone_circle"
"Moel Tŷ Uchaf stone circle","moel-ty-uchaf-stone-circle","stone circle",52.923175,-3.4056343,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Moel_T%C5%B7_Uchaf"
